transaction_id,transaction_date,customer_id,product_id,store_id,employee_id,quantity,discount_percent,payment_method,order_status
TXN004060,2025-08-30,CUST0007,PROD0060,ST001,EMP011,5,30,Cash,Completed
TXN000446,2025-12-15,CUST0062,PROD0018,ST002,EMP002,7,6,Bank Transfer,Returned
TXN002820,2025-03-08,CUST0037,PROD0059,ST001,EMP001,1,12,Card,Completed
TXN000527,2025-01-29,CUST0087,PROD0054,ST004,EMP014,2,30,Cash,Completed
TXN001537,2025-06-03,CUST0069,PROD0026,ST004,EMP019,7,12,Cash,Returned
TXN000624,2025-09-05,CUST0036,PROD0021,ST001,EMP016,4,22,Cash,Completed
TXN003977,2025-04-17,CUST0051,PROD0028,ST001,EMP001,5,22,Cash,cOMplEtED
TXN002628,2025-07-17,CUST0062,PROD0029,ST004,EMP019,2,6,eSewa,Completed
TXN001555,2025-03-07,CUST0100,PROD0033,ST002,EMP017,4,20,Khalti,Completed
TXN001135,2025-01-12,CUST0015,PROD0006,ST005,EMP005,5,26,Cash,Returned
TXN001718,2025-12-24,CUST0039,PROD0050,ST004,EMP019,5,27,eSewa,Cancelled
TXN003019,2025-12-07,CUST0015,PROD0017,ST002,EMP017,5,6,Khalti,Completed
TXN002429,2025-09-14,CUST0072,PROD0023,ST002,EMP002,6,13,eSewa,Completed
TXN002381,2025-02-22,CUST0004,PROD0025,ST005,EMP005,4,6,Cash,Completed
TXN002136,2025-03-12,CUST0016,PROD0043,ST003,EMP018,7,20,Khalti,Cancelled
TXN002392,2025-02-23,CUST0051,PROD0009,ST005,EMP005,8,12,Cash,Completed
TXN004121,2025-09-01,CUST0030,PROD0056,ST003,EMP013,4,,Khalti,Completed
TXN002739,2025-07-27,CUST0017,PROD0041,ST005,EMP005,1,19,eSewa,Returned
TXN001814,2025-07-01,CUST0092,PROD0022,ST002,EMP017,4,8,Cash,Completed
TXN004676,2025-06-08,CUST0024,PROD0016,ST002,EMP007,1,11,eSewa,Completed
TXN004671,2025-08-31,CUST0024,PROD0036,ST002,EMP002,8,24,eSewa,Cancelled
 TXN000106,2025-05-06,CUST0094,PROD0058,ST002,EMP007,-3,7,Bank Transfer,Completed
TXN001355,2025-07-13,CUST0038,PROD0012,ST003,EMP008,5,21,KHALTI,Completed
TXN003074,2025-01-13,CUST0040,PROD0022,ST005,EMP020,3,22,eSewa,Completed
